2023-02-27 16:45:00.826 -03:00 [INF] > PedidoFinalizadoJob: Iniciando
2023-02-27 16:45:00.830 -03:00 [INF] > PedidoFinalizadoJob: Finalizado
2023-02-27 16:45:00.831 -03:00 [INF] > PedidoEntregueJob: Iniciando
2023-02-27 16:45:01.327 -03:00 [INF] > PedidoDevolverEntregueJob: Iniciando
2023-02-27 16:45:01.337 -03:00 [INF] > PedidoDevolverEntregueJob: Finalizado
2023-02-27 16:45:10.824 -03:00 [INF] > PedidoPagamentoSituacao: Iniciando
2023-02-27 16:45:10.833 -03:00 [INF] > PedidoPagamentoSituacao: Finalizado
2023-02-27 16:45:10.833 -03:00 [INF] > PedidoFinalizadoJob: Iniciando
2023-02-27 16:45:10.845 -03:00 [INF] > PedidoFinalizadoJob: Finalizado
2023-02-27 16:45:10.846 -03:00 [INF] > PedidoEntregueJob: Iniciando
2023-02-27 16:45:11.337 -03:00 [INF] > PedidoDevolverEntregueJob: Iniciando
2023-02-27 16:45:11.349 -03:00 [INF] > PedidoDevolverEntregueJob: Finalizado
2023-02-27 16:45:20.828 -03:00 [INF] > PedidoPagamentoSituacao: Iniciando
2023-02-27 16:45:20.833 -03:00 [INF] > PedidoPagamentoSituacao: Finalizado
2023-02-27 16:45:20.834 -03:00 [INF] > PedidoFinalizadoJob: Iniciando
2023-02-27 16:45:20.840 -03:00 [INF] > PedidoFinalizadoJob: Finalizado
2023-02-27 16:45:20.840 -03:00 [INF] > PedidoEntregueJob: Iniciando
2023-02-27 16:45:21.301 -03:00 [INF] > PedidoDevolverEntregueJob: Iniciando
2023-02-27 16:45:21.303 -03:00 [INF] > PedidoDevolverEntregueJob: Finalizado
2023-02-27 16:45:30.820 -03:00 [INF] > PedidoPagamentoSituacao: Iniciando
2023-02-27 16:45:30.826 -03:00 [INF] > PedidoPagamentoSituacao: Finalizado
2023-02-27 16:45:30.827 -03:00 [INF] > PedidoFinalizadoJob: Iniciando
2023-02-27 16:45:30.834 -03:00 [INF] > PedidoFinalizadoJob: Finalizado
2023-02-27 16:45:30.835 -03:00 [INF] > PedidoEntregueJob: Iniciando
2023-02-27 16:45:31.406 -03:00 [INF] > PedidoDevolverEntregueJob: Iniciando
2023-02-27 16:45:31.407 -03:00 [INF] > PedidoDevolverEntregueJob: Finalizado
2023-02-27 16:45:40.818 -03:00 [INF] > PedidoPagamentoSituacao: Iniciando
2023-02-27 16:45:40.823 -03:00 [INF] > PedidoPagamentoSituacao: Finalizado
2023-02-27 16:45:40.823 -03:00 [INF] > PedidoFinalizadoJob: Iniciando
2023-02-27 16:45:40.828 -03:00 [INF] > PedidoFinalizadoJob: Finalizado
2023-02-27 16:45:40.829 -03:00 [INF] > PedidoEntregueJob: Iniciando
2023-02-27 16:45:41.538 -03:00 [INF] > PedidoDevolverEntregueJob: Iniciando
2023-02-27 16:45:41.545 -03:00 [INF] > PedidoDevolverEntregueJob: Finalizado
2023-02-27 16:45:50.830 -03:00 [INF] > PedidoPagamentoSituacao: Iniciando
2023-02-27 16:45:50.838 -03:00 [INF] > PedidoPagamentoSituacao: Finalizado
2023-02-27 16:45:50.838 -03:00 [INF] > PedidoFinalizadoJob: Iniciando
2023-02-27 16:45:50.843 -03:00 [INF] > PedidoFinalizadoJob: Finalizado
2023-02-27 16:45:50.844 -03:00 [INF] > PedidoEntregueJob: Iniciando
2023-02-27 16:45:51.475 -03:00 [INF] > PedidoDevolverEntregueJob: Iniciando
2023-02-27 16:45:51.481 -03:00 [INF] > PedidoDevolverEntregueJob: Finalizado
2023-02-27 16:46:00.824 -03:00 [INF] > PedidoPagamentoSituacao: Iniciando
2023-02-27 16:46:00.828 -03:00 [INF] > PedidoPagamentoSituacao: Finalizado
2023-02-27 16:46:00.828 -03:00 [INF] > PedidoFinalizadoJob: Iniciando
2023-02-27 16:46:00.832 -03:00 [INF] > PedidoFinalizadoJob: Finalizado
2023-02-27 16:46:00.832 -03:00 [INF] > PedidoEntregueJob: Iniciando
2023-02-27 16:46:01.402 -03:00 [INF] > PedidoDevolverEntregueJob: Iniciando
2023-02-27 16:46:01.411 -03:00 [INF] > PedidoDevolverEntregueJob: Finalizado
2023-02-27 16:46:10.827 -03:00 [INF] > PedidoPagamentoSituacao: Iniciando
2023-02-27 16:46:10.832 -03:00 [INF] > PedidoPagamentoSituacao: Finalizado
2023-02-27 16:46:10.832 -03:00 [INF] > PedidoFinalizadoJob: Iniciando
2023-02-27 16:46:10.837 -03:00 [INF] > PedidoFinalizadoJob: Finalizado
2023-02-27 16:46:10.837 -03:00 [INF] > PedidoEntregueJob: Iniciando
